销售单号,销售行号,商品条码,商品名称,销售数量,销售金额,实售单价,小包装数量,小包装单价,小包装条码,销售日期,单据类型,SHOP_ID,销售时间,更新时间
01201601020001,75,6901028317177,玉溪（软）（条）,1.000000,230.000000,230.000000,10.000000,23.0000000000,6901028317122,20160102,00,210202251576,20160102,20170326161400
01201601020001,76,6901028317122,玉溪（软）,1.000000,23.000000,23.000000,1.000000,23.000000,6901028317122,20160102,00,210202251576,20160102,20170326161400
01201601020001,77,6901028314978,红塔山（硬经典）,3.000000,22.500000,7.500000,3.000000,7.500000,6901028314978,20160102,00,210202251576,20160102,20170326161400
01201601020001,78,6901028046886,云烟（紫）,1.000000,10.000000,10.000000,1.000000,10.000000,6901028046886,20160102,00,210202251576,20160102,20170326161400
01201601020001,79,6901028051873,云烟（神秘花园）,1.000000,32.000000,32.000000,1.000000,32.000000,6901028051873,20160102,00,210202251576,20160102,20170326161400
01201601020001,80,6901028075145,红双喜（硬8mg）（条）,1.000000,85.000000,85.000000,10.000000,8.5000000000,6901028075831,20160102,00,210202251576,20160102,20170326161400
01201601020001,81,6901028075862,牡丹（软）,2.000000,26.000000,13.000000,2.000000,13.000000,6901028075862,20160102,00,210202251576,20160102,20170326161400
01201601020001,82,6901028092326,人民大会堂（硬红细支）（条）,1.100000,176.000000,160.000000,11.000000,16.0000000000,6901028092319,20160102,00,210202251576,20160102,20170326161400
01201601020001,83,6901028071765,中南海（金8mg）,1.000000,7.000000,7.000000,1.000000,7.000000,6901028071765,20160102,00,210202251576,20160102,20170326161400
01201601020001,84,6901028100663,长白山（软红）,2.000000,21.000000,10.500000,2.000000,10.500000,6901028100663,20160102,00,210202251576,20160102,20170326161400
01201601020001,85,6901028100274,长白山（777）（条）,1.000000,150.000000,150.000000,10.000000,15.0000000000,6901028100267,20160102,00,210202251576,20160102,20170326161400
01201601020001,86,6901028300070,南京（佳品）,1.000000,15.000000,15.000000,1.000000,15.000000,6901028300070,20160102,00,210202251576,20160102,20170326161400
01201601020001,87,6901028111270,南京（炫赫门）（条）,7.200000,1152.000000,160.000000,72.000000,16.0000000000,6901028111263,20160102,00,210202251576,20160102,20170326161400
01201601020001,88,6901028111546,南京（雨花石）（条）,2.000000,1060.000000,530.000000,20.000000,53.0000000000,6901028111539,20160102,00,210202251576,20160102,20170326161400
01201601020001,89,6901028069878,万宝路（硬金）,1.000000,21.000000,21.000000,1.000000,21.000000,6901028069878,20160102,00,210202251576,20160102,20170326161400
01201601020001,90,6901028169677,黄金叶（金满堂）,3.000000,31.500000,10.500000,3.000000,10.500000,6901028169677,20160102,00,210202251576,20160102,20170326161400
